,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
453,2018-05-04,350.04573145734764,353.4042667915487,347.20752282390964,350.3768615722656,1086906,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
454,2018-05-07,350.37691686173787,354.5396177399708,347.0183521258041,349.43084716796875,1158622,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
455,2018-05-08,350.329551018936,351.9378808402941,348.72125006933,349.7619323730469,1266845,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
456,2018-05-09,349.4781457422205,349.4781457422205,345.55196221285286,348.6739807128906,729600,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
457,2018-05-10,348.67398074279873,351.89064086039406,347.2548761750678,348.0117492675781,1061262,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
458,2018-05-11,348.6266872110324,349.95117902717084,344.9370211261624,346.687255859375,919285,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
459,2018-05-14,348.72130266187133,352.0325466637876,346.11961094608006,350.5188293457031,784431,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
460,2018-05-15,351.5121012829356,357.14122619820296,348.5319882161613,350.66064453125,1782317,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
461,2018-05-16,349.09972746011385,358.89155485834647,347.25487995328865,353.68817138671875,1962889,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
462,2018-05-17,356.19525135480046,356.9994163951587,349.6673760286256,351.322998046875,1228856,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
463,2018-05-18,351.5595144751409,362.81773839276855,347.3022007260732,354.35040283203125,893157,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
464,2018-05-21,356.5263789284017,357.1413184706224,350.1404083332317,353.0259094238281,1435221,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
465,2018-05-22,353.35698402123444,355.0126057669832,346.2614622537397,354.4922790527344,1474387,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
466,2018-05-23,353.8300265441587,357.2831747721777,346.8291173548013,348.34283447265625,1568630,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
467,2018-05-24,350.5188848059297,353.6882246264354,347.01841475848863,349.57281494140625,1137318,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
468,2018-05-25,350.99180559035585,359.2699142127699,350.5187708119322,357.8981018066406,1559715,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
469,2018-05-28,359.5064439911953,361.39858317009634,355.3437435719636,357.4250793457031,1349683,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
470,2018-05-29,358.3711410081665,366.1289230187636,355.0126055886073,364.7571105957031,1483955,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
471,2018-05-30,365.7504935082254,368.25757203934535,359.6010414382043,361.303955078125,2348568,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
472,2018-05-31,362.3919615955104,366.1289481968673,360.2160129869696,362.6284790039063,3223114,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
473,2018-06-01,364.2368037020999,371.14310037943824,362.2973725297901,365.8924255371094,1733390,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
474,2018-06-04,367.0750457307816,368.3049247992183,363.4326715902873,364.1895446777344,926051,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
475,2018-06-05,365.84516222213614,366.0816796456385,359.50648372357085,360.3579406738281,790381,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
476,2018-06-06,361.3986381551133,364.9936915932938,355.05995939269513,358.1820068359375,1852078,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
477,2018-06-07,359.459190476051,364.23683086466446,358.08737787604025,363.2434692382813,2017889,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
