,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Debt-Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Inventory_Turnover_Ratio,Debtors_Turnover_Ratio,Interest_Coverage_Ratio,Operating_Margin,Net_Profit_Margin,Return_On_Capital_Employed,Return_On_Net_Worth,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
425,2021-03-23,3106.481124665847,3135.171555435053,3089.514294117846,3109.053466796875,3305973,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
426,2021-03-24,3077.988494645068,3118.649856724054,3077.9389800784834,3087.782958984375,2207104,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
427,2021-03-25,3078.9779499065285,3097.429010471032,3017.4419685595226,3032.133544921875,3179786,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
428,2021-03-26,3057.658006581233,3084.716148953164,3010.566269304949,3034.062744140625,3697370,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
429,2021-03-30,3050.089682557289,3154.4139797014686,3028.225498371484,3124.833251953125,4694008,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
430,2021-03-31,3121.3208258242594,3170.7870829688595,3098.566347537744,3143.927001953125,3530069,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
431,2021-06-01,3150.109894163942,3151.451870678551,3113.7233745019626,3134.600830078125,1377441,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,37722,756,38478,26529,31161,120,3548,809,11020,2739,8281,22.39
432,2021-06-02,3132.4632538162414,3141.012922728112,3096.8223600658657,3111.18798828125,2240078,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,37722,756,38478,26529,31161,120,3548,809,11020,2739,8281,22.39
433,2021-06-03,3136.141870825138,3136.141870825138,3104.4278756351528,3122.91943359375,1281706,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,37722,756,38478,26529,31161,120,3548,809,11020,2739,8281,22.39
434,2021-06-04,3109.7469365059646,3138.428682926816,3106.764442641029,3125.405029296875,1836060,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,37722,756,38478,26529,31161,120,3548,809,11020,2739,8281,22.39
435,2021-06-07,3126.6474748755345,3171.8322046258554,3115.3140962183284,3164.62451171875,2559821,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,37722,756,38478,26529,31161,120,3548,809,11020,2739,8281,22.39
436,2021-06-08,3179.3382292424963,3212.1456593753924,3168.601203564903,3181.4755859375,2574057,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,37722,756,38478,26529,31161,120,3548,809,11020,2739,8281,22.39
