,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
1305,2021-01-15,3200.467251020515,3239.050936581504,3175.73411925065,3198.8349609375,4131692,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1306,2021-01-18,3215.3070810518834,3221.985026527914,3153.3752234307512,3187.358642578125,4160906,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1307,2021-01-19,3198.4883188439026,3243.9972772932742,3197.4989936602205,3225.892578125,2975735,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1308,2021-01-20,3235.0933822381944,3292.424728885644,3232.224435791282,3273.479248046875,3453446,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1309,2021-01-21,3269.7197265559457,3273.825329447516,3227.277772861337,3238.90234375,2778546,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1310,2021-01-22,3207.2934334639667,3289.5064584066613,3207.2934334639667,3267.84033203125,3052459,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1311,2021-01-25,3273.627508450997,3304.148286890132,3243.650907168156,3256.166015625,2272887,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1312,2021-01-27,3264.773429223252,3271.1545289825626,3192.5526836677072,3226.2392578125,2786662,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1313,2021-01-28,3195.520122898612,3240.039753093793,3149.813350871782,3162.42724609375,3083938,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1314,2021-01-29,3175.783560703623,3182.5110206970357,3066.908268852464,3078.13720703125,5445659,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
