Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband
2020-11-26,2255.0741279879094,2316.586647960538,2242.6317679134804,2302.945068359375,1207176,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,58.42449738605686,1.523460127315375,2281.3309374562123,61.906588318989634,-2219.424349137222,2225.057453157692,41.39952412540631,2245.2945643833705,2451.20034812101,2039.388780645731
2020-11-27,2313.5386426155333,2373.5520819490657,2296.5990249764013,2346.468505859375,8998610,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,61.1886959390289,1.7268439219834109,2294.358451136845,63.73559467286168,-2230.622856463983,2236.0948215851176,42.278155521827216,2264.104518345424,2453.6594765295235,2074.5495601613243
2020-12-01,2382.5464578892606,2507.320433534406,2347.6178159563947,2461.498291015625,2001392,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,67.36450349601334,2.181246582287436,2327.786419112601,73.61841049336908,-2254.168008619232,2256.5860460788,41.41917681762501,2294.7715192522323,2460.045816982315,2129.4972215221496
2020-12-02,2473.1912366404026,2483.535024302292,2374.001744952603,2410.079833984375,1611325,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,62.57152301701376,1.8285893693890911,2344.245102086956,76.42064386029551,-2267.82445822666,2270.5400267974887,45.85504372338959,2310.2049560546875,2475.301175356951,2145.108736752424
2020-12-03,2499.475235237812,2499.5252535530662,2370.453845010471,2388.44287109375,1745381,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,60.61704298743971,1.6847829251702893,2353.0846558883145,76.01920978487124,-2277.0654461034437,2281.258467188058,48.02005579437243,2330.153494698661,2452.586135580981,2207.7208538163404
2020-12-04,2398.5367506036205,2443.5093146774384,2398.5367506036205,2433.16552734375,1219317,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,63.177314054462016,1.8731621732637045,2369.100830179402,78.40599942908466,-2290.694830750317,2295.0681999294843,62.33179059118351,2342.2068394252237,2469.8760570523045,2214.537621798142
2020-12-07,2433.1655592120337,2467.0450376531103,2416.575826198141,2431.216796875,778998,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,62.98517094784875,1.859024696019064,2381.524023518521,79.22702137015995,-2302.2970021483616,2307.445345106349,62.44224870344301,2352.775390625,2483.8738541805888,2221.6769270694112
2020-12-08,2464.496377867465,2503.4725979553937,2414.277017369558,2448.955810546875,1412683,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,64.05679589516319,1.9378725588151016,2395.0103809241923,80.38247815399882,-2314.627902770193,2320.30993287367,62.560390063327525,2362.990565708705,2500.499905278554,2225.4812261388565
2020-12-09,2503.622570236604,2518.463614130872,2431.5166560239727,2441.210693359375,1650915,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,63.19650888937628,1.8745744880045148,2404.250443411229,79.75386681978125,-2324.496576591448,2331.300911099643,61.22198840887639,2373.983869280134,2510.02879528696,2237.9389432733083
2020-12-10,2453.453227932877,2453.453227932877,2368.5550686788,2391.591064453125,1121002,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,57.83734879653195,1.4802589947327798,2401.718567619608,74.394228091679,-2327.324339527929,2336.781834131777,61.1670440922942,2380.6940569196427,2509.599822944828,2251.788290894458
2020-12-11,2402.1347349859534,2411.528906648459,2343.5703630711296,2358.461181640625,1654915,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,54.51337360438932,1.2356880368204006,2393.067090423812,66.704443814343,-2326.362646609469,2338.752683905309,61.02166208675957,2381.4293212890625,2509.6515054348274,2253.2071371432976
2020-12-14,2374.3514522391733,2388.892629465872,2345.568963665126,2355.363037109375,800654,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,54.19967503568529,1.2126067696602112,2385.5262797609244,59.67237401833245,-2325.853905742592,2340.262716014769,60.84728739261056,2380.1051199776784,2509.043097852298,2251.1671421030587
2020-12-15,2359.5604283822186,2391.141258523134,2333.5762813521733,2353.763916015625,1060707,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,54.02685919044605,1.199891350810965,2379.1738070118645,53.35532535565108,-2325.8184816562134,2341.4900978330293,60.41047113067032,2383.092564174108,2507.069787395979,2259.115340952236
2020-12-16,2367.5555897804,2409.7798294039635,2358.561077197866,2388.242919921875,948217,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,57.19591669452621,1.4330637978510083,2380.9876295938666,50.54849465968209,-2330.4391349341845,2345.7403543865607,60.71862195131882,2393.671822684152,2486.4510127060767,2300.892632662227
